time_s,cx_px,cy_px,tx_mm,ty_mm,tz_mm
22.5828,329.50,159.00,116.6079,2.5185,45.0056
22.6470,326.75,159.25,113.8375,2.2667,44.5168
22.7108,324.50,159.00,111.5708,2.5185,45.0056
22.7749,322.00,159.50,109.0523,2.0148,44.5338
22.8549,319.50,159.25,106.5338,2.2667,44.7697
22.9189,316.50,159.75,103.5115,1.7630,44.7697
22.9829,314.50,159.75,101.4967,1.7630,44.7752
23.0469,311.75,160.00,98.7263,1.5111,44.7584
23.1110,309.25,159.75,96.2078,1.7630,45.0166
23.1748,306.75,160.00,93.6893,1.5111,44.7584
23.2550,304.00,159.75,90.9189,1.7630,44.7695
23.3189,301.75,160.00,88.6522,1.5111,44.7584
23.3830,299.00,159.75,85.8818,1.7630,44.7695
23.4470,296.00,160.25,82.8596,1.2593,44.7695
23.5114,293.75,160.25,80.5929,1.2593,44.5168
23.5750,291.00,160.25,77.8225,1.2593,44.7695
23.6549,288.75,160.75,75.5559,0.7556,44.5281
23.7189,286.00,160.50,72.7855,1.0074,44.5449
23.7831,283.75,161.00,70.5188,0.5037,44.7584
23.8467,281.25,160.75,68.0003,0.7556,44.5281
23.9110,278.75,161.00,65.4818,0.5037,44.7584
23.9750,276.00,161.00,62.7114,0.5037,45.0111
24.0549,273.50,161.25,60.1928,0.2519,44.7751
24.1190,271.00,160.75,57.6743,0.7556,44.7695
24.1829,268.25,161.25,54.9039,0.2519,44.5281
24.2469,266.00,161.00,52.6373,0.5037,45.0111
24.3110,263.25,161.25,49.8669,0.2519,44.5281
24.3750,261.00,161.50,47.6002,-0.0000,44.5449
